Date,SPY,TLT
2004-01-13,75.35051,43.287418
2004-01-14,75.979767,43.50021
2004-01-15,76.167198,43.663521
2004-01-16,76.468437,43.356655
2004-01-20,76.448349,43.346798
2004-01-21,77.05085,43.450706
2004-01-22,76.849998,43.767445
2004-01-23,76.602333,43.242847
2004-01-26,77.566307,42.980556
2004-01-27,76.769669,43.247822
2004-01-28,75.892738,42.866753
2004-01-29,75.966347,42.777679
2004-01-30,75.966347,43.074566
2004-02-02,76.294388,42.984142
2004-02-03,76.167198,43.202812
2004-02-04,75.544647,43.118317
2004-02-05,75.765549,42.949352
2004-02-06,76.615707,43.421444
2004-02-09,76.63578,43.550678
2004-02-10,76.883469,43.307182
2004-02-11,77.700172,43.630157
2004-02-12,77.419022,43.446293
2004-02-13,77.0709,43.630157
2004-02-17,77.767151,43.600338
2004-02-18,77.425705,43.659988
2004-02-19,77.137886,43.704697
2004-02-20,76.90358,43.401596
2004-02-23,76.709435,43.669918
2004-02-24,76.575569,43.749413
2004-02-25,76.896851,43.819004
2004-02-26,76.943733,43.679867
2004-02-27,76.997253,44.057529
2004-03-01,77.760429,44.040546
2004-03-02,77.305252,43.76115
2004-03-03,77.445793,43.681335
2004-03-04,77.646629,43.875893
2004-03-05,77.9077,44.724087
2004-03-08,76.957085,44.988499
2004-03-09,76.649216,45.287868
2004-03-10,75.363907,45.257957
2004-03-11,74.38652,45.322788
2004-03-12,75.363907,45.043385
2004-03-15,74.440086,45.118259
2004-03-16,74.835037,45.492474
2004-03-17,75.671829,45.417595
2004-03-18,75.691879,45.178104
2004-03-19,74.606995,45.118259
2004-03-22,73.659836,45.392658
2004-03-23,73.532158,45.472527
2004-03-24,73.592621,45.44751
2004-03-25,74.566734,45.272919
2004-03-26,74.586823,44.793926
2004-03-29,75.634811,44.494602
2004-03-30,75.890068,44.464638
2004-03-31,75.977394,44.679207
2004-04-01,76.434227,44.532921
2004-04-02,77.011925,43.43103
2004-04-05,77.43515,43.090385
2004-04-06,77.186584,43.325821
2004-04-07,77.005188,43.225609
2004-04-08,76.830566,43.10041
2004-04-12,77.132881,42.945152
2004-04-13,76.0513,42.479324
2004-04-14,76.172234,42.444237
2004-04-15,75.883392,42.193848
2004-04-16,76.46785,42.354122
2004-04-19,76.46785,42.263969
2004-04-20,75.184708,41.8783
2004-04-21,75.68856,42.08363
2004-04-22,76.749947,42.334057
2004-04-23,76.823837,42.093651
2004-04-26,76.716354,42.16378
2004-04-27,76.783539,42.324047
2004-04-28,75.789307,41.928383
2004-04-29,75.124237,41.723007
2004-04-30,74.539818,41.893288
2004-05-03,75.339218,41.946117
2004-05-04,75.278763,41.659508
2004-05-05,75.762451,41.543877
2004-05-06,75.110832,41.433224
2004-05-07,73.868034,40.890156
2004-05-10,73.108955,40.794613
2004-05-11,73.726982,40.980648
2004-05-12,74.197227,40.709145
2004-05-13,73.888214,40.553253
2004-05-14,73.921799,40.885132
2004-05-17,73.290329,41.247189
2004-05-18,73.659836,41.086243
2004-05-19,73.404541,40.950516
2004-05-20,73.639664,41.267258
2004-05-21,73.767303,41.101364
2004-05-24,74.076279,41.232086
2004-05-25,75.137718,41.352776
2004-05-26,75.399704,41.574009
2004-05-27,75.822922,41.900864
2004-05-28,75.816139,41.785217
2004-06-01,75.715401,41.402565
2004-06-02,75.997574,41.296577
2004-06-03,75.29892,41.382378
2004-06-04,75.896782,41.140076
2004-06-07,77.052254,41.150166
2004-06-08,77.159706,41.225864
2004-06-09,76.440933,41.049213
2004-06-10,76.817123,41.129951
2004-06-14,76.058044,40.801899
2004-06-15,76.595436,41.665062
2004-06-16,76.582008,41.503487
2004-06-17,76.46785,41.776115
2004-06-18,76.612099,41.685249
2004-06-21,76.322189,41.715519
2004-06-22,76.706482,41.589325
2004-06-23,77.367203,41.670116
2004-06-24,77.124512,41.922501
2004-06-25,76.753693,41.962898
2004-06-28,76.490715,41.533813
2004-06-29,76.807617,41.796265
2004-06-30,77.218895,42.225391
2004-07-01,76.146866,42.304413
2004-07-02,76.106422,42.750458
2004-07-06,75.438942,42.679508
2004-07-07,75.661415,42.694717
2004-07-08,75.135529,42.720032
2004-07-09,75.331062,42.765648
2004-07-12,75.364761,42.826454
2004-07-13,75.418724,42.699749
2004-07-14,75.189453,42.714985
2004-07-15,74.704033,42.760563
2004-07-16,74.643341,43.328228
2004-07-19,74.3265,43.358612
2004-07-20,75.270386,42.968399
2004-07-21,73.881508,42.851833
2004-07-22,74.083771,42.912628
2004-07-23,73.463448,43.054523
2004-07-26,73.321877,42.851833
2004-07-27,74.00959,42.274033
2004-07-28,74.232086,42.279118
2004-07-29,74.548973,42.375404
2004-07-30,74.73101,42.872093
2004-08-02,74.88607,42.92804
2004-08-03,74.306267,43.101101
2004-08-04,74.299477,43.12141
2004-08-05,73.085892,43.243507
2004-08-06,72.040871,43.971123
2004-08-09,72.14196,43.818436
2004-08-10,73.072395,43.66074
2004-08-11,72.92411,43.849003
2004-08-12,72.12851,43.940559
2004-08-13,72.270073,44.083023
2004-08-16,73.018486,43.930439
2004-08-17,73.429764,44.179707
2004-08-18,74.184898,43.966019
2004-08-19,73.969109,44.072884
2004-08-20,74.488304,44.032166
2004-08-23,74.299477,43.777756
2004-08-24,74.400627,43.8032
2004-08-25,74.906296,43.955833
2004-08-26,74.906296,44.205128
2004-08-27,75.142281,44.174618
2004-08-30,74.522011,44.383251
2004-08-31,74.913033,44.657978
2004-09-01,75.054649,44.703964
2004-09-02,75.904144,44.264633
2004-09-03,75.594017,44.269764
2004-09-07,76.092888,44.223778
2004-09-08,75.904144,44.596664
2004-09-09,75.836754,44.428116
2004-09-10,76.227768,44.49453
2004-09-13,76.477242,44.688663
2004-09-14,76.632332,44.734596
2004-09-15,76.052498,44.632458
2004-09-16,76.281715,45.138195
2004-09-17,76.605988,44.913441
2004-09-20,76.145645,45.209698
2004-09-21,76.477394,45.34251
2004-09-22,75.522797,45.812523
2004-09-23,75.116531,45.62859
2004-09-24,75.461838,45.684818
2004-09-27,74.981155,45.883995
2004-09-28,75.339989,45.700092
2004-09-29,75.719101,45.255669
2004-09-30,75.664955,45.081989
2004-10-01,76.944534,44.856819
2004-10-04,77.073196,44.923489
2004-10-05,77.113762,44.923489
2004-10-06,77.641846,44.718296
2004-10-07,76.809143,44.52338
2004-10-08,76.172722,45.113239
2004-10-11,76.484161,45.15942
2004-10-12,76.186241,45.262047
2004-10-13,75.515991,45.42617
2004-10-14,74.906647,45.641655
2004-10-15,75.326416,45.482597
2004-10-18,75.610779,45.503109
2004-10-19,74.974365,45.621124
2004-10-20,74.825439,45.934006
2004-10-21,75.312943,45.964779
2004-10-22,74.466614,46.072475
2004-10-25,74.378609,46.108376
2004-10-26,75.515991,45.969906
2004-10-27,76.423225,45.518501
2004-10-28,76.653419,45.667278
2004-10-29,76.639893,45.877583
2004-11-01,76.849762,45.592251
2004-11-02,76.876823,45.659195
2004-11-03,77.844948,45.67979
2004-11-04,78.907921,45.726151
2004-11-05,79.40213,45.226551
2004-11-08,79.287056,45.066898
2004-11-09,79.131348,45.041119
2004-11-10,79.192245,44.87117
2004-11-11,79.794823,44.773315
2004-11-12,80.424477,45.257484
2004-11-15,80.62207,45.29863
2004-11-16,80.04493,45.29863
2004-11-17,80.520195,45.684952
2004-11-18,80.628883,45.824017
2004-11-19,79.732536,45.458321
2004-11-22,80.112816,45.695248
2004-11-23,80.235008,45.751904
2004-11-24,80.425148,45.751904
2004-11-26,80.364021,45.453186
2004-11-29,79.997345,44.969002
2004-11-30,80.051651,44.778488
2004-12-01,80.961632,44.708618
2004-12-02,81.02951,44.527618
2004-12-03,80.975174,45.220623
2004-12-06,80.948013,45.375767
2004-12-07,80.19429,45.432667
2004-12-08,80.662819,46.141197
2004-12-09,80.948013,45.836071
2004-12-10,81.02951,45.949841
2004-12-13,81.73571,46.048092
2004-12-14,82.020882,46.229061
2004-12-15,82.082001,46.647976
2004-12-16,82.034477,45.960163
2004-12-17,81.487289,45.898125
2004-12-20,81.507751,45.980835
2004-12-21,82.135429,46.12048
2004-12-22,82.333282,45.965313
2004-12-23,82.39473,45.815346
2004-12-27,82.224129,45.458519
2004-12-28,82.674423,45.422344
2004-12-29,82.797234,45.375767
2004-12-30,82.640282,45.680912
2004-12-31,82.462906,45.969032
2005-01-03,82.074059,46.067642
2005-01-04,81.071136,45.584831
2005-01-05,80.511711,45.828827
2005-01-06,80.921059,45.86002
2005-01-07,80.805061,45.963814
2005-01-10,81.187103,46.036514
2005-01-11,80.627724,46.306469
2005-01-12,80.893745,46.36874
2005-01-13,80.245636,46.81522
2005-01-14,80.668633,46.810013
2005-01-18,81.507751,46.965759
2005-01-19,80.654976,47.100719
2005-01-20,80.163742,47.194153
2005-01-21,79.672569,47.246113
2005-01-24,79.515617,47.448547
2005-01-25,79.740761,47.002083
2005-01-26,79.979546,47.090366
2005-01-27,80.116013,47.002083
2005-01-28,80.116013,47.474487
2005-01-31,80.614044,47.609463
2005-02-01,81.125725,47.533939
2005-02-02,81.37133,47.643345
2005-02-03,81.159859,47.617325
2005-02-04,82.026268,48.279076
2005-02-07,81.917122,48.638622
2005-02-08,82.012642,48.914829
2005-02-09,81.398598,49.045086
2005-02-10,81.692001,48.383286
2005-02-11,82.39473,48.352013
2005-02-14,82.333282,48.503101
2005-02-15,82.640282,48.258236
2005-02-16,82.69487,48.075867
2005-02-17,82.026268,47.773643
2005-02-18,82.135429,47.346313
2005-02-22,80.9142,47.137878
2005-02-23,81.494133,47.294235
2005-02-24,82.033096,47.189972
2005-02-25,82.844963,47.419296
2005-02-28,82.299187,46.9086
2005-03-01,82.708504,46.893978
